Make,Colour,Odometer (KM),Doors,Price
Hyundai,blue,44410,5,"$22,325"
Honda,green,72423,5,"$49,730"
Honda,white,50997,2,"$77,558"
Porsche,white,69722,4,"$28,378"
Chevrolet,olive,84335,3,"$6,518"
Volvo,silver,8048,2,"$74,724"
Audi,blue,54552,5,"$75,851"
Volvo,maroon,52783,4,"$84,417"
Volvo,purple,28158,5,"$46,626"
Lamborghini,silver,77386,2,"$95,401"
Suzuki,green,37236,5,"$32,071"
Lincoln,silver,94567,5,"$10,442"
BMW,olive,59359,4,"$38,650"
Toyota,teal,79058,3,"$44,998"
INFINITI,olive,97517,2,"$85,844"
Toyota,teal,30795,4,"$23,595"
Ford,gray,84593,2,"$12,882"
Lexus,lime,93676,5,"$24,763"
Hyundai,silver,78879,7,"$93,629"
HUMMER,navy,25422,4,"$9,525"
Mercedes-Benz,maroon,20741,6,"$55,662"
Lexus,aqua,47377,6,"$65,905"
Ford,aqua,10385,2,"$53,324"
GMC,aqua,7747,6,"$93,728"
Plymouth,gray,69688,7,"$68,243"
Ford,black,76809,2,"$22,861"
Lexus,yellow,96979,7,"$62,555"
MAZDA,silver,75900,6,"$63,908"
BMW,olive,56451,5,"$1,590"
Toyota,fuchsia,59538,7,"$4,802"
Toyota,maroon,46478,3,"$2,621"
Ram,olive,54353,3,"$49,089"
Cadillac,maroon,49832,6,"$85,480"
Chevrolet,blue,31692,2,"$7,625"
Ford,lime,19203,6,"$5,693"
GMC,black,51555,3,"$82,197"
GMC,lime,42584,4,"$83,874"
GMC,navy,45018,7,"$90,638"
Volvo,gray,18249,3,"$34,151"
Ram,aqua,72400,5,"$14,956"
GMC,aqua,30745,3,"$57,387"
BMW,olive,48835,6,"$69,533"
Audi,navy,35873,7,"$44,105"
GMC,yellow,92555,4,"$17,288"
Lincoln,purple,90973,7,"$13,479"
Volvo,yellow,17355,4,"$75,924"
Mercury,lime,73774,7,"$77,061"
Kia,aqua,90673,6,"$99,942"
MAZDA,olive,63382,6,"$26,347"
Audi,aqua,10832,6,"$79,525"
Toyota,yellow,2638,7,"$37,090"
Audi,gray,41645,5,"$59,224"
Nissan,yellow,19330,3,"$73,750"
Ram,lime,35630,4,"$47,415"
Hyundai,navy,29970,5,"$80,034"
INFINITI,navy,45518,4,"$96,336"
Nissan,olive,44251,5,"$28,991"
Lexus,gray,56092,7,"$91,992"
GMC,aqua,21918,4,"$15,683"
Audi,navy,54996,5,"$57,583"
Toyota,lime,41730,3,"$78,322"
Ford,black,50021,7,"$45,897"
Chrysler,white,74295,7,"$68,312"
Dodge,purple,22801,7,"$97,711"
Nissan,green,26455,5,"$13,924"
Chevrolet,yellow,12972,6,"$3,142"
Ford,gray,34462,4,"$10,349"
Toyota,olive,69167,2,"$65,136"
Nissan,fuchsia,32801,4,"$40,473"
Dodge,teal,9755,2,"$51,507"
Volvo,gray,84579,5,"$1,684"
Mercedes-Benz,lime,74430,6,"$5,192"
Oldsmobile,navy,5044,5,"$2,316"
MINI,yellow,90746,6,"$88,431"
GMC,teal,44292,4,"$76,565"
Cadillac,purple,20906,4,"$76,057"
GMC,purple,32577,5,"$12,464"
Ford,green,64338,6,"$14,961"
Isuzu,teal,20944,7,"$91,906"
Mercedes-Benz,aqua,18068,6,"$14,499"
Honda,yellow,57266,4,"$91,255"
Subaru,aqua,5219,3,"$2,970"
Ford,lime,51244,7,"$29,951"
Hyundai,white,52602,3,"$7,346"
Honda,blue,92176,2,"$73,020"
Chevrolet,black,35726,2,"$14,692"
Nissan,navy,27546,7,"$10,059"
Volvo,green,19199,7,"$92,408"
Dodge,silver,96374,2,"$9,968"
Scion,olive,47332,3,"$56,136"
Cadillac,black,84454,3,"$82,919"
Chevrolet,navy,8297,2,"$64,232"
Volkswagen,white,20605,5,"$62,752"
Ford,navy,97188,3,"$32,705"
Volkswagen,green,55110,6,"$34,968"
Mercedes-Benz,fuchsia,84948,2,"$50,234"
Ford,lime,87307,7,"$11,229"
Porsche,teal,78568,2,"$13,793"
Chevrolet,gray,57002,4,"$57,279"
INFINITI,aqua,16869,5,"$56,783"
Buick,black,25833,2,"$20,827"
Oldsmobile,lime,23885,2,"$35,972"
Dodge,purple,53232,7,"$4,045"
Audi,green,45380,2,"$66,851"
Ford,navy,10474,5,"$81,669"
Dodge,olive,77182,7,"$11,528"
Mercedes-Benz,silver,33271,2,"$53,625"
Nissan,teal,92432,4,"$66,637"
Ferrari,aqua,47204,7,"$87,479"
Pontiac,silver,15528,3,"$59,593"
Mercedes-Benz,yellow,40648,6,"$65,827"
Honda,teal,12042,3,"$54,112"
GMC,fuchsia,57519,3,"$92,590"
Lincoln,black,38050,6,"$99,320"
BMW,white,29649,6,"$34,585"
MAZDA,olive,24096,5,"$8,649"
BMW,green,41869,5,"$21,175"
Dodge,teal,70072,4,"$26,088"
Mercedes-Benz,blue,56058,7,"$1,763"
Nissan,gray,30271,7,"$48,864"
Chevrolet,navy,4804,5,"$34,621"
FIAT,silver,63311,2,"$93,203"
Volkswagen,silver,30947,4,"$6,768"
Volvo,purple,40608,6,"$59,785"
Toyota,black,88858,3,"$35,893"
Chevrolet,white,61574,5,"$70,203"
Honda,lime,96628,3,"$58,054"
BMW,green,3010,3,"$63,829"
Jeep,fuchsia,80952,5,"$17,796"
Buick,maroon,53656,7,"$89,868"
Ram,white,32870,4,"$19,100"
Chrysler,purple,65562,5,"$17,814"
Land Rover,lime,21017,7,"$47,220"
Mercedes-Benz,yellow,49225,3,"$26,653"
Ford,silver,23914,5,"$33,050"
Audi,fuchsia,8335,5,"$35,118"
Mercury,blue,40061,4,"$58,058"
INFINITI,green,53075,5,"$43,205"
Mitsubishi,blue,73910,7,"$9,914"
MINI,blue,9092,3,"$29,886"
GMC,aqua,2107,4,"$81,841"
Ford,purple,11802,5,"$28,915"
Dodge,green,19006,4,"$78,595"
Lexus,black,98997,6,"$46,145"
Volkswagen,silver,23886,7,"$42,005"
Ford,lime,72641,4,"$36,062"
Volvo,blue,41468,3,"$72,754"
Mitsubishi,gray,59712,4,"$82,783"
Mercedes-Benz,yellow,95592,2,"$81,893"
Honda,yellow,63282,3,"$20,623"
Scion,olive,92966,2,"$7,292"
Isuzu,black,2300,2,"$19,844"
Chevrolet,gray,98053,4,"$66,485"
Audi,silver,90977,7,"$69,667"
Audi,teal,61253,3,"$14,115"
MAZDA,maroon,93232,7,"$51,097"
Audi,silver,40302,4,"$18,089"
Chevrolet,teal,2751,7,"$46,661"
Kia,navy,31709,6,"$62,898"
Mitsubishi,blue,8496,3,"$73,885"
Chevrolet,gray,74326,5,"$80,895"
Ford,black,33734,7,"$97,154"
Pontiac,black,91238,4,"$63,396"
Subaru,fuchsia,76417,7,"$86,005"
Toyota,blue,65478,3,"$41,560"
BMW,silver,83610,5,"$62,684"
Toyota,navy,73368,2,"$35,583"
Mitsubishi,white,46566,3,"$47,382"
Toyota,silver,20582,5,"$31,735"
Chevrolet,teal,21327,7,"$45,304"
GMC,lime,2404,7,"$96,773"
FIAT,teal,55968,5,"$25,295"
Ford,white,26208,6,"$7,341"
MAZDA,aqua,83254,3,"$75,546"
Kia,maroon,45301,2,"$64,702"
Isuzu,green,70084,3,"$69,914"
Mercury,yellow,59965,4,"$99,614"
Pontiac,black,81109,7,"$14,602"
Dodge,green,86001,7,"$93,769"
Toyota,navy,93964,2,"$54,403"
Toyota,white,10378,3,"$99,983"
Toyota,purple,65809,3,"$17,588"
Audi,olive,39876,4,"$91,454"
Ford,purple,69341,5,"$54,398"
GMC,maroon,75891,3,"$30,608"
Lotus,gray,1556,5,"$49,545"
Jeep,maroon,5215,5,"$31,770"
Mercedes-Benz,aqua,91733,6,"$21,400"
Mercedes-Benz,silver,34607,7,"$81,364"
Dodge,purple,26087,3,"$7,200"
Mercedes-Benz,yellow,21680,4,"$79,792"
Oldsmobile,white,66488,4,"$12,106"
Hyundai,purple,47723,2,"$91,677"
Toyota,yellow,37139,6,"$69,247"
Toyota,purple,43322,5,"$48,834"
Ford,purple,19411,2,"$2,777"
Chevrolet,white,12031,2,"$64,905"
INFINITI,yellow,62426,4,"$7,440"
Ford,maroon,51562,7,"$93,490"
Nissan,white,14691,7,"$4,673"
Dodge,black,32212,7,"$99,138"
Jaguar,purple,92850,2,"$78,791"
Chevrolet,yellow,95259,3,"$38,085"
Toyota,olive,63514,3,"$80,828"
Nissan,maroon,9645,5,"$4,776"
Audi,olive,93071,6,"$42,508"
Chevrolet,gray,42322,7,"$5,972"
GMC,teal,44417,2,"$74,874"
Kia,olive,66112,6,"$49,958"
Dodge,purple,59352,3,"$47,350"
Honda,fuchsia,74328,6,"$1,731"
Subaru,green,39860,5,"$72,041"
Kia,gray,17408,7,"$15,645"
Chevrolet,silver,79010,2,"$33,339"
Ford,fuchsia,67380,7,"$63,473"
Ford,white,69511,3,"$40,523"
GMC,purple,31284,4,"$83,110"
Mitsubishi,aqua,65111,2,"$81,052"
Toyota,silver,25509,4,"$6,244"
Kia,green,6739,2,"$71,562"
Hyundai,green,13979,2,"$60,620"
GMC,black,22177,3,"$52,423"
Toyota,blue,76273,6,"$96,356"
Chevrolet,black,98610,4,"$56,572"
Chevrolet,white,9397,2,"$18,807"
Ford,purple,52099,5,"$81,219"
Mitsubishi,gray,72998,4,"$76,805"
Nissan,silver,38424,3,"$99,606"
Subaru,fuchsia,63760,6,"$18,627"
GMC,fuchsia,2139,6,"$33,035"
Lexus,purple,42064,5,"$88,765"
Toyota,purple,63234,4,"$75,072"
MAZDA,olive,73685,6,"$36,355"
Suzuki,black,62771,5,"$29,501"
Toyota,white,93477,5,"$15,648"
Chrysler,navy,44876,5,"$19,039"
Dodge,blue,7449,3,"$63,106"
Ford,aqua,71711,3,"$3,891"
Acura,blue,52658,3,"$72,696"
Dodge,gray,97053,2,"$7,613"
Maybach,green,49098,6,"$14,217"
BMW,maroon,22237,3,"$40,567"
Buick,navy,22834,5,"$41,944"
Lincoln,olive,55819,6,"$58,047"
BMW,maroon,48939,7,"$20,853"
Jeep,blue,24868,3,"$58,684"
Mitsubishi,fuchsia,68061,6,"$33,291"
Mercury,purple,88085,2,"$19,686"
Lincoln,green,79406,7,"$40,443"
Land Rover,green,4738,2,"$10,708"
BMW,teal,42122,6,"$90,756"
Ford,lime,52103,6,"$44,010"
Subaru,green,34335,7,"$81,738"
INFINITI,navy,87904,7,"$54,656"
Maserati,white,34535,7,"$87,446"
Ford,blue,47316,4,"$72,210"
Saturn,yellow,17849,5,"$38,384"
Mercury,white,26300,3,"$77,943"
Mercedes-Benz,black,39565,2,"$34,442"
Mercedes-Benz,gray,95044,7,"$86,538"
Chevrolet,teal,76763,4,"$87,062"
GMC,gray,9200,3,"$6,109"
GMC,black,60436,4,"$81,439"
Ford,fuchsia,7903,3,"$70,753"
Mercedes-Benz,lime,31506,5,"$54,430"
Chevrolet,teal,29972,4,"$13,741"
Jaguar,white,26395,2,"$90,697"
Toyota,yellow,49209,3,"$15,572"
Ford,olive,49404,2,"$45,500"
Hyundai,green,32041,3,"$79,859"
Lotus,blue,31666,4,"$70,642"
Ford,silver,10644,4,"$98,958"
Kia,navy,5826,6,"$17,875"
BMW,teal,14969,3,"$25,486"
Mercedes-Benz,black,40653,4,"$3,459"
GMC,purple,39635,2,"$93,213"
INFINITI,maroon,34266,5,"$18,735"
BMW,white,59435,6,"$22,848"
Lotus,olive,87289,5,"$94,684"
Buick,silver,4024,2,"$85,377"
Subaru,fuchsia,27681,2,"$59,575"
Volvo,purple,31376,7,"$34,691"
Ford,lime,37187,4,"$77,034"
Jeep,navy,80053,2,"$96,636"
Nissan,gray,92805,4,"$48,917"
Nissan,navy,6303,5,"$3,245"
Maserati,purple,2178,6,"$1,128"
Chevrolet,gray,15973,4,"$18,435"
Chevrolet,teal,4919,2,"$64,596"
Mercedes-Benz,black,55948,2,"$36,952"
Audi,blue,31123,5,"$90,358"
Saab,white,55078,3,"$62,973"
Chevrolet,purple,45308,4,"$75,683"
Audi,black,86864,3,"$54,597"
Kia,maroon,64781,5,"$92,232"
Lincoln,blue,86320,6,"$48,090"
Ferrari,lime,60852,5,"$1,034"
Ford,teal,37684,7,"$28,243"
Ford,navy,91440,4,"$88,061"
MAZDA,black,46715,4,"$13,907"
Toyota,lime,64963,5,"$49,556"
Nissan,green,31925,5,"$37,073"
GMC,aqua,90603,5,"$87,775"
MINI,maroon,22608,4,"$34,126"
Toyota,lime,60038,3,"$89,755"
Hyundai,purple,17573,5,"$41,451"
Chrysler,white,63679,6,"$75,030"
Isuzu,gray,63098,5,"$95,643"
Ford,blue,9500,4,"$93,024"
BMW,white,29661,6,"$5,188"
Volkswagen,silver,11498,4,"$63,162"
Nissan,yellow,89408,6,"$46,926"
Toyota,black,89611,3,"$27,565"
Ford,teal,65572,3,"$17,938"
GMC,blue,24204,6,"$97,227"
Ram,green,42730,3,"$40,395"
Mercury,maroon,84875,7,"$53,839"
INFINITI,gray,79276,6,"$70,878"
Mercury,navy,50851,5,"$74,867"
Maybach,black,90973,4,"$57,054"
Mercedes-Benz,purple,34834,5,"$4,724"
Nissan,black,10032,2,"$33,798"
Chevrolet,purple,42355,3,"$54,034"
Lexus,purple,31741,3,"$80,998"
Lexus,yellow,3570,6,"$91,428"
Dodge,lime,80409,7,"$50,439"
Mitsubishi,teal,73154,2,"$5,973"
Suzuki,yellow,21501,4,"$5,689"
GMC,lime,45966,5,"$56,992"
Kia,navy,41790,4,"$66,960"
Suzuki,maroon,45396,4,"$52,666"
Chevrolet,white,20155,4,"$27,149"
Lexus,blue,91858,6,"$4,037"
Dodge,fuchsia,16144,3,"$97,386"
Suzuki,lime,22956,4,"$81,482"
Porsche,silver,97653,5,"$20,743"
Ford,lime,24275,6,"$16,282"
Kia,purple,11758,7,"$12,496"
GMC,purple,79042,7,"$22,158"
Ford,black,3683,3,"$3,060"
MINI,silver,62936,7,"$47,379"
Chevrolet,olive,27260,2,"$4,886"
GMC,black,99512,5,"$57,437"
Nissan,silver,53946,4,"$74,455"
Suzuki,green,83292,7,"$17,614"
Nissan,silver,64848,6,"$16,419"
Dodge,blue,57090,5,"$85,491"
Volvo,teal,30379,2,"$58,127"
MAZDA,silver,95996,3,"$38,085"
GMC,teal,81877,4,"$69,823"
Mercedes-Benz,lime,85863,3,"$99,123"
Ford,teal,37981,3,"$95,356"
smart,green,20857,7,"$29,919"
Dodge,maroon,86276,6,"$51,922"
Saturn,purple,78002,3,"$97,016"
BMW,black,25238,6,"$69,156"
Bentley,maroon,4881,7,"$77,653"
Freightliner,olive,13606,2,"$11,731"
Chevrolet,aqua,24324,4,"$33,022"
GMC,fuchsia,58729,6,"$56,044"
Mercedes-Benz,yellow,3275,5,"$98,861"
Hyundai,gray,77022,3,"$82,268"
Maserati,fuchsia,72089,3,"$41,688"
Lincoln,yellow,46184,3,"$32,375"
Volvo,olive,29292,5,"$96,311"
Nissan,olive,65649,4,"$57,618"
Mercedes-Benz,yellow,93291,2,"$8,480"
Ferrari,black,68992,7,"$14,178"
Ford,silver,67367,4,"$2,886"
Kia,navy,77482,6,"$78,342"
FIAT,silver,44198,6,"$46,939"
Land Rover,navy,6861,7,"$84,819"
Honda,green,62869,2,"$58,939"
Ram,fuchsia,23690,6,"$94,412"
Toyota,black,68252,7,"$62,236"
Mercedes-Benz,black,20396,7,"$3,118"
Oldsmobile,purple,89047,2,"$3,727"
BMW,silver,64801,6,"$82,329"
Volkswagen,white,3817,7,"$45,247"
BMW,purple,3885,2,"$24,236"
MAZDA,purple,95744,4,"$38,326"
Lexus,purple,17019,3,"$41,304"
Suzuki,olive,77300,4,"$46,012"
Volkswagen,fuchsia,27501,7,"$87,464"
Chevrolet,gray,43313,3,"$96,690"
Volvo,maroon,28133,4,"$94,977"
Audi,lime,13836,6,"$96,378"
Lexus,aqua,80272,5,"$59,287"
Chevrolet,lime,49049,6,"$95,985"
Mercedes-Benz,yellow,93312,7,"$14,113"
GMC,aqua,75341,6,"$61,163"
Chevrolet,gray,41025,4,"$53,020"
Chevrolet,purple,17038,5,"$63,997"
Dodge,aqua,61766,5,"$28,714"
Saab,fuchsia,1553,6,"$17,756"
Ford,maroon,89790,5,"$11,249"
Chevrolet,teal,18446,7,"$85,069"
Dodge,green,64463,6,"$82,888"
Toyota,green,95345,3,"$78,727"
Ford,green,74513,3,"$28,351"
Toyota,lime,7863,3,"$74,502"
Nissan,silver,2557,5,"$61,551"
Jaguar,fuchsia,2346,5,"$43,975"
Suzuki,fuchsia,80077,6,"$71,918"
Mitsubishi,green,44745,4,"$45,328"
Volvo,olive,79687,2,"$24,140"
Bentley,yellow,82989,6,"$14,093"
Ram,olive,49228,7,"$47,505"
Chevrolet,fuchsia,60366,5,"$10,969"
Audi,yellow,25406,2,"$41,865"
Suzuki,gray,74507,5,"$49,068"
Volvo,yellow,43040,4,"$64,733"
Chrysler,aqua,57745,6,"$62,411"
Ford,navy,23778,3,"$89,780"
GMC,lime,26913,2,"$53,374"
Freightliner,fuchsia,47490,6,"$55,486"
Chevrolet,black,83141,7,"$14,112"
Ford,silver,21747,2,"$71,833"
Land Rover,aqua,9531,2,"$89,808"
BMW,silver,61035,7,"$25,853"
Toyota,maroon,21710,3,"$49,909"
Lamborghini,yellow,60331,4,"$62,692"
Cadillac,aqua,67939,2,"$22,133"
Audi,green,31594,5,"$34,306"
Volkswagen,teal,41335,7,"$63,056"
Audi,lime,82435,3,"$61,472"
Porsche,yellow,69089,7,"$92,160"
Ford,maroon,42712,2,"$92,814"
GMC,teal,3585,3,"$48,467"
Ram,maroon,88195,2,"$48,733"
Chevrolet,olive,36364,6,"$57,924"
Dodge,navy,55968,7,"$72,059"
Jeep,silver,87434,3,"$61,828"
Mitsubishi,green,83101,3,"$27,102"
Nissan,gray,89023,2,"$30,611"
Toyota,purple,73619,3,"$73,364"
Toyota,blue,92801,4,"$71,862"
Volvo,purple,33025,3,"$94,053"
Pontiac,white,42756,7,"$83,309"
Toyota,maroon,11142,7,"$67,106"
GMC,lime,90510,5,"$90,815"
Volkswagen,aqua,65855,7,"$16,916"
Mercedes-Benz,maroon,44430,3,"$4,207"
Lincoln,green,21880,5,"$30,255"
Chevrolet,aqua,22025,3,"$25,664"
Toyota,silver,52913,3,"$84,184"
Ford,aqua,78648,4,"$43,973"
Volkswagen,maroon,31424,4,"$60,248"
Nissan,silver,75613,2,"$2,563"
Aston Martin,silver,16084,3,"$80,439"
Toyota,olive,5696,7,"$97,323"
Subaru,white,60222,7,"$24,756"
Chevrolet,maroon,63376,3,"$20,892"
Nissan,green,40944,5,"$19,630"
Chevrolet,blue,59544,7,"$75,161"
Ford,gray,63190,2,"$77,103"
Ford,yellow,78989,3,"$74,254"
GMC,yellow,25835,5,"$99,697"
Maybach,white,8490,7,"$82,080"
Pontiac,aqua,32122,3,"$65,396"
Ford,teal,22635,5,"$89,646"
Audi,green,21050,3,"$78,800"
GMC,aqua,76230,2,"$17,984"
Ford,silver,18246,3,"$22,796"
Nissan,aqua,22435,4,"$2,471"
Ram,maroon,55380,5,"$24,473"
INFINITI,purple,56980,7,"$39,246"
Subaru,gray,97153,2,"$52,186"
MINI,fuchsia,21180,4,"$93,755"
Acura,aqua,56940,6,"$62,149"
Dodge,gray,19948,5,"$3,094"
FIAT,gray,29208,3,"$39,627"
Honda,blue,64556,4,"$87,649"
BMW,aqua,7795,5,"$14,889"
Chevrolet,green,38202,4,"$77,137"
Dodge,aqua,26344,3,"$53,230"
Audi,blue,60486,4,"$96,441"
Chevrolet,green,33405,6,"$20,404"
INFINITI,aqua,43656,6,"$80,393"
Nissan,aqua,80929,5,"$49,722"
Honda,yellow,23579,3,"$66,246"
Kia,green,68272,2,"$4,873"
Mitsubishi,blue,99183,4,"$77,215"
Land Rover,lime,86723,2,"$6,763"
Jaguar,purple,3236,7,"$41,246"
GMC,white,86380,5,"$20,370"
Acura,gray,45942,7,"$84,500"
Audi,navy,64204,5,"$65,893"
MAZDA,black,9877,4,"$93,792"
Lincoln,gray,22954,6,"$92,004"
GMC,navy,78719,4,"$30,966"
Volkswagen,purple,42287,5,"$94,113"
Dodge,olive,42762,7,"$39,429"
Chrysler,fuchsia,3906,3,"$35,557"
GMC,maroon,2527,6,"$18,981"
Acura,yellow,64239,5,"$95,858"
GMC,green,48163,2,"$49,608"
Chevrolet,gray,34581,5,"$16,274"
Audi,white,25907,7,"$79,352"
Nissan,olive,27561,5,"$95,766"
Honda,black,95391,6,"$30,576"
Maserati,yellow,59666,6,"$8,166"
Lexus,silver,28582,3,"$60,925"
Chevrolet,lime,22250,5,"$34,042"
Audi,teal,71250,2,"$86,249"
Chevrolet,blue,98387,6,"$7,327"
Ford,gray,77535,4,"$86,389"
Acura,teal,76780,6,"$54,752"
INFINITI,silver,53941,4,"$35,809"
Honda,olive,84625,6,"$63,886"
Maserati,maroon,51633,2,"$39,492"
BMW,silver,18213,6,"$14,089"
Ford,black,14220,4,"$96,795"
Dodge,aqua,29913,4,"$47,354"
Ram,silver,99777,4,"$51,482"
Ford,olive,16356,6,"$64,150"
Ford,navy,37232,7,"$1,371"
Chevrolet,navy,89488,6,"$36,562"
Jeep,fuchsia,92554,5,"$14,561"
Chevrolet,black,66269,5,"$78,371"
smart,aqua,45824,3,"$31,606"
Buick,silver,25487,7,"$95,164"
Suzuki,black,72811,4,"$50,941"
Maserati,teal,36221,6,"$72,173"
Dodge,maroon,26739,4,"$54,512"
Saturn,gray,30984,5,"$67,937"
Toyota,navy,43506,2,"$96,256"
Mercedes-Benz,aqua,93495,2,"$13,610"
Toyota,olive,45943,7,"$94,851"
Nissan,gray,11134,5,"$92,073"
Pontiac,maroon,19478,2,"$82,932"
Chevrolet,green,51924,7,"$94,443"
Volvo,lime,44261,3,"$47,232"
Toyota,black,49045,2,"$31,655"
Mercedes-Benz,black,68279,5,"$61,932"
Ford,navy,26879,5,"$25,985"
Honda,purple,37698,7,"$88,763"
Subaru,black,2134,3,"$21,219"
GMC,silver,92756,5,"$34,760"
Volkswagen,yellow,9995,5,"$53,903"
Mercedes-Benz,silver,92537,4,"$50,306"
Ford,blue,92708,5,"$50,495"
Buick,yellow,30289,3,"$31,185"
GMC,purple,50465,6,"$63,933"
Mercedes-Benz,purple,45175,6,"$40,871"
Plymouth,white,93326,2,"$34,105"
Chevrolet,purple,53436,5,"$17,168"
MAZDA,silver,18671,2,"$92,203"
Chrysler,blue,29813,3,"$48,321"
Volvo,teal,59450,7,"$14,221"
GMC,teal,63564,3,"$25,434"
Volvo,gray,68956,2,"$41,422"
Pontiac,green,9125,4,"$29,981"
Ford,purple,95893,6,"$67,925"
Ford,silver,98114,6,"$38,900"
Mercedes-Benz,yellow,9840,6,"$97,036"
Toyota,silver,28496,4,"$65,459"
Chevrolet,olive,81803,4,"$63,572"
Volvo,teal,87889,7,"$90,280"
Acura,navy,78452,7,"$58,504"
Ram,navy,85744,6,"$59,160"
MINI,blue,16014,4,"$50,371"
Pontiac,purple,91555,7,"$64,126"
Chevrolet,maroon,57266,5,"$5,436"
Mercedes-Benz,fuchsia,52233,5,"$56,916"
Nissan,olive,87855,3,"$90,793"
Geo,yellow,19439,7,"$80,717"
Hyundai,green,39304,7,"$14,186"
Hyundai,green,80069,3,"$7,528"
Tesla,olive,17255,4,"$28,838"
Ford,yellow,5982,7,"$87,221"
Ford,maroon,53642,4,"$56,814"
Ford,navy,55211,2,"$63,747"
Chrysler,teal,95176,7,"$5,984"
Bentley,aqua,53021,4,"$4,103"
Dodge,blue,99758,4,"$44,291"
Chevrolet,gray,30944,6,"$59,516"
Ford,yellow,4176,4,"$7,964"
Toyota,silver,91511,6,"$67,285"
Mitsubishi,fuchsia,67648,5,"$22,474"
Acura,white,86578,4,"$69,180"
BMW,fuchsia,17993,4,"$9,254"
Dodge,silver,12572,5,"$24,494"
INFINITI,maroon,45541,7,"$89,433"
Nissan,maroon,34150,2,"$74,026"
Toyota,lime,41880,3,"$66,045"
Chevrolet,black,76412,5,"$10,241"
Toyota,purple,49421,6,"$33,920"
Toyota,lime,99302,5,"$6,501"
Hyundai,maroon,34488,3,"$75,606"
Honda,silver,78096,7,"$35,143"
Audi,black,47098,7,"$47,546"
Mercury,aqua,46295,4,"$18,100"
Nissan,maroon,81155,2,"$50,159"
Ford,green,21352,4,"$46,073"
MAZDA,olive,93959,6,"$50,845"
Audi,teal,75784,7,"$42,133"
INFINITI,maroon,85320,4,"$52,877"
Mercury,purple,32541,2,"$4,920"
Subaru,teal,54604,2,"$69,764"
Hyundai,maroon,66217,7,"$98,732"
Oldsmobile,blue,33496,4,"$94,988"
Nissan,black,44158,6,"$76,155"
GMC,black,77689,3,"$35,765"
Audi,black,40308,2,"$9,188"
Ford,maroon,99216,6,"$84,163"
Chevrolet,purple,21387,3,"$73,204"
Toyota,gray,33759,7,"$95,448"
Porsche,fuchsia,9778,7,"$71,610"
Ford,silver,15234,5,"$1,290"
Jeep,blue,64348,7,"$70,987"
Mercury,blue,32549,7,"$74,459"
MINI,lime,55536,2,"$83,071"
MAZDA,aqua,75314,7,"$23,119"
GMC,black,94677,5,"$24,730"
Hyundai,navy,45029,4,"$84,332"
Kia,olive,86287,7,"$6,268"
Buick,lime,20647,7,"$16,977"
Toyota,black,53224,4,"$31,509"
Pontiac,purple,35886,5,"$43,196"
Kia,black,56030,5,"$22,120"
Ford,fuchsia,35183,2,"$84,365"
Volvo,olive,28660,5,"$6,496"
Nissan,teal,40887,2,"$99,864"
Mercedes-Benz,fuchsia,44031,5,"$79,856"
Volkswagen,navy,50826,2,"$98,369"
Ford,silver,80383,2,"$100,000"
MAZDA,black,55875,5,"$14,027"
Chevrolet,purple,17934,3,"$53,356"
Cadillac,yellow,36175,3,"$86,875"
Chevrolet,silver,91141,2,"$85,611"
Audi,teal,16132,2,"$16,057"
Toyota,purple,68444,3,"$32,211"
Acura,fuchsia,26198,3,"$42,272"
Toyota,silver,16099,4,"$89,157"
Chevrolet,black,80346,2,"$87,355"
BMW,white,90934,3,"$38,722"
Scion,fuchsia,16719,5,"$33,440"
Ford,blue,74885,2,"$66,305"
GMC,navy,31141,7,"$22,771"
BMW,lime,84639,2,"$14,447"
Pontiac,teal,53724,6,"$53,003"
Nissan,aqua,21411,5,"$57,095"
Mercedes-Benz,lime,44116,5,"$68,748"
Plymouth,teal,41394,2,"$41,657"
GMC,blue,56505,3,"$82,943"
Lincoln,lime,51041,4,"$7,290"
GMC,gray,47954,4,"$43,709"
Aston Martin,white,86119,5,"$62,647"
Ford,olive,75815,4,"$74,054"
Audi,teal,82425,7,"$30,490"
Volkswagen,lime,54989,6,"$28,423"
Nissan,purple,25310,5,"$29,399"
Ford,teal,19277,5,"$5,036"
Acura,navy,93870,6,"$78,675"
Jeep,white,59826,3,"$24,734"
Volkswagen,blue,84081,6,"$85,065"
Volkswagen,lime,43713,2,"$24,976"
Scion,navy,93051,6,"$39,990"
Suzuki,teal,78381,5,"$85,385"
Chevrolet,black,98094,3,"$72,277"
INFINITI,black,1381,5,"$62,623"
Acura,lime,14190,4,"$47,925"
Nissan,black,95461,7,"$75,927"
Ford,black,82209,4,"$64,804"
Hyundai,silver,13883,6,"$66,449"
Honda,gray,46924,3,"$86,533"
Audi,blue,13258,4,"$91,143"
Mercedes-Benz,fuchsia,39584,7,"$60,888"
Dodge,teal,44997,7,"$54,601"
Scion,fuchsia,65234,5,"$84,078"
Audi,lime,86555,2,"$5,014"
Ford,teal,77247,2,"$49,307"
Saturn,lime,80866,2,"$11,629"
Chevrolet,maroon,56147,5,"$92,085"
Lexus,white,97010,7,"$15,057"
smart,maroon,41488,7,"$8,700"
Honda,gray,23578,3,"$54,770"
Toyota,white,88541,6,"$69,166"
Dodge,lime,41129,2,"$43,550"
BMW,purple,94013,7,"$98,321"
